Team,Logo,M1,D1,L1,T1,M2,D2,L2,T2,M3,D3,L3,T3,M4,D4,L4,T4,M5,D5,L5,T5,M6,D6,L6,T6,M7,D7,L7,T7,M8,D8,L8,T8,M9,D9,L9,T9,M10,D10,L10,T10,M11,D11,L11,T11,M12,D12,L12,T12
Buffalo,\Logos\Buffalo.png,SEP,1,H,\Logos\Delaware St.png,SEP,8,A,\Logos\Temple.png,SEP,15,H,\Logos\E Michigan.png,SEP,22,A,\Logos\Rutgers.png,SEP,29,H,\Logos\Army.png,OCT,6,A,\Logos\C Michigan.png,OCT,13,H,\Logos\Akron.png,OCT,20,A,\Logos\Toledo.png,OCT,30,H,\Logos\Miami OH.png,NOV,6,H,\Logos\Kent.png,NOV,14,A,\Logos\Ohio.png,NOV,23,A,\Logos\Bowling Green.png
BYU,\Logos\BYU.png,SEP,1,A,\Logos\Arizona.png,SEP,8,H,\Logos\California.png,SEP,15,A,\Logos\Wisconsin.png,SEP,22,H,\Logos\McNeese St.png,SEP,29,A,\Logos\Washington.png,OCT,5,H,\Logos\Utah St.png,OCT,13,H,\Logos\Hawaii.png,OCT,27,H,\Logos\N Illinois.png,NOV,3,A,\Logos\Boise St.png,NOV,10,N,\Logos\Massachusetts.png,NOV,17,H,\Logos\New Mexico St.png,NOV,24,A,\Logos\Utah.png
C Michigan,\Logos\C Michigan.png,SEP,1,A,\Logos\Kentucky.png,SEP,8,H,\Logos\Kansas.png,SEP,15,A,\Logos\N Illinois.png,SEP,22,H,\Logos\Maine.png,SEP,29,A,\Logos\Michigan St.png,OCT,6,H,\Logos\Buffalo.png,OCT,13,H,\Logos\Ball St.png,OCT,20,H,\Logos\W Michigan.png,OCT,27,A,\Logos\Akron.png,NOV,3,A,\Logos\E Michigan.png,NOV,10,H,\Logos\Bowling Green.png,NOV,23,A,\Logos\Toledo.png
California,\Logos\California.png,SEP,1,H,\Logos\North Carolina.png,SEP,8,A,\Logos\BYU.png,SEP,15,H,\Logos\Idaho St.png,SEP,29,H,\Logos\Oregon.png,OCT,6,A,\Logos\Arizona.png,OCT,13,H,\Logos\UCLA.png,OCT,20,A,\Logos\Oregon St.png,OCT,27,H,\Logos\Washington.png,NOV,3,A,\Logos\Washington St.png,NOV,10,A,\Logos\USC.png,NOV,17,H,\Logos\Stanford.png,NOV,24,H,\Logos\Colorado.png
Charlotte,\Logos\Charlotte.png,SEP,1,H,\Logos\Fordham.png,SEP,8,H,\Logos\Appalachian St.png,SEP,15,H,\Logos\Old Dominion.png,SEP,22,A,\Logos\Massachusetts.png,SEP,29,A,\Logos\UAB.png,OCT,13,H,\Logos\WKU.png,OCT,20,A,\Logos\MTSU.png,OCT,27,H,\Logos\Southern Miss.png,NOV,3,A,\Logos\Tennessee.png,NOV,10,A,\Logos\Marshall.png,NOV,17,H,\Logos\Florida Intl.png,NOV,24,A,\Logos\FL Atlantic.png
Cincinnati,\Logos\Cincinnati.png,SEP,1,A,\Logos\UCLA.png,SEP,8,H,\Logos\Miami OH.png,SEP,15,H,\Logos\Alabama A&M.png,SEP,22,H,\Logos\Ohio.png,SEP,29,A,\Logos\Connecticut.png,OCT,6,H,\Logos\Tulane.png,OCT,20,A,\Logos\Temple.png,OCT,27,A,\Logos\SMU.png,NOV,3,H,\Logos\Navy.png,NOV,10,H,\Logos\South Florida.png,NOV,17,A,\Logos\UCF.png,NOV,23,H,\Logos\East Carolina.png
Clemson,\Logos\Clemson.png,SEP,1,H,\Logos\Furman.png,SEP,8,A,\Logos\Texas A&M.png,SEP,15,H,\Logos\Ga Southern.png,SEP,22,A,\Logos\Georgia Tech.png,SEP,29,H,\Logos\Syracuse.png,OCT,6,A,\Logos\Wake Forest.png,OCT,20,H,\Logos\NC State.png,OCT,27,A,\Logos\Florida St.png,NOV,3,H,\Logos\Louisville.png,NOV,10,A,\Logos\Boston College.png,NOV,17,H,\Logos\Duke.png,NOV,24,H,\Logos\South Carolina.png
Coastal Car,\Logos\Coastal Car.png,SEP,1,A,\Logos\South Carolina.png,SEP,8,H,\Logos\UAB.png,SEP,15,H,\Logos\Campbell.png,SEP,22,A,\Logos\ULL.png,SEP,29,A,\Logos\Troy.png,OCT,13,H,\Logos\ULM.png,OCT,20,A,\Logos\Massachusetts.png,OCT,27,A,\Logos\Georgia St.png,NOV,3,H,\Logos\Appalachian St.png,NOV,10,H,\Logos\Arkansas St.png,NOV,17,H,\Logos\Ga Southern.png,NOV,23,A,\Logos\South Alabama.png
Colorado,\Logos\Colorado.png,AUG,31,N,\Logos\Colorado St.png,SEP,8,A,\Logos\Nebraska.png,SEP,15,H,\Logos\New Hampshire.png,SEP,28,H,\Logos\UCLA.png,OCT,6,H,\Logos\Arizona St.png,OCT,13,A,\Logos\USC.png,OCT,20,A,\Logos\Washington.png,OCT,27,H,\Logos\Oregon St.png,NOV,2,A,\Logos\Arizona.png,NOV,10,H,\Logos\Washington St.png,NOV,17,H,\Logos\Utah.png,NOV,24,A,\Logos\California.png
Colorado St,\Logos\Colorado St.png,AUG,25,H,\Logos\Hawaii.png,AUG,31,N,\Logos\Colorado.png,SEP,8,H,\Logos\Arkansas.png,SEP,15,A,\Logos\Florida.png,SEP,22,H,\Logos\Illinois St.png,OCT,6,A,\Logos\San Jose St.png,OCT,13,H,\Logos\New Mexico.png,OCT,19,A,\Logos\Boise St.png,OCT,26,H,\Logos\Wyoming.png,NOV,10,A,\Logos\Nevada.png,NOV,17,H,\Logos\Utah St.png,NOV,22,A,\Logos\Air Force.png
Connecticut,\Logos\Connecticut.png,AUG,30,H,\Logos\UCF.png,SEP,8,A,\Logos\Boise St.png,SEP,15,H,\Logos\Rhode Island.png,SEP,22,A,\Logos\Syracuse.png,SEP,29,H,\Logos\Cincinnati.png,OCT,6,A,\Logos\Memphis.png,OCT,20,A,\Logos\South Florida.png,OCT,27,H,\Logos\Massachusetts.png,NOV,3,A,\Logos\Tulsa.png,NOV,10,H,\Logos\SMU.png,NOV,17,A,\Logos\East Carolina.png,NOV,24,H,\Logos\Temple.png
Duke,\Logos\Duke.png,AUG,31,H,\Logos\Army.png,SEP,8,A,\Logos\Northwestern.png,SEP,15,A,\Logos\Baylor.png,SEP,22,H,\Logos\NC Central.png,SEP,29,H,\Logos\Virginia Tech.png,OCT,13,A,\Logos\Georgia Tech.png,OCT,20,H,\Logos\Virginia.png,OCT,27,A,\Logos\Pittsburgh.png,NOV,3,A,\Logos\Miami FL.png,NOV,10,H,\Logos\North Carolina.png,NOV,17,A,\Logos\Clemson.png,NOV,24,H,\Logos\Wake Forest.png
E Michigan,\Logos\E Michigan.png,AUG,31,H,\Logos\Monmouth NJ.png,SEP,8,A,\Logos\Purdue.png,SEP,15,A,\Logos\Buffalo.png,SEP,22,A,\Logos\San Diego St.png,SEP,29,H,\Logos\N Illinois.png,OCT,6,A,\Logos\W Michigan.png,OCT,13,H,\Logos\Toledo.png,OCT,20,A,\Logos\Ball St.png,OCT,27,H,\Logos\Army.png,NOV,3,H,\Logos\C Michigan.png,NOV,10,H,\Logos\Akron.png,NOV,23,A,\Logos\Kent.png
East Carolina,\Logos\East Carolina.png,SEP,1,H,\Logos\NC A&T.png,SEP,8,H,\Logos\North Carolina.png,SEP,15,A,\Logos\Virginia Tech.png,SEP,22,A,\Logos\South Florida.png,SEP,29,H,\Logos\Old Dominion.png,OCT,6,A,\Logos\Temple.png,OCT,13,H,\Logos\Houston.png,OCT,20,H,\Logos\UCF.png,NOV,3,H,\Logos\Memphis.png,NOV,10,A,\Logos\Tulane.png,NOV,17,H,\Logos\Connecticut.png,NOV,23,A,\Logos\Cincinnati.png
FL Atlantic,\Logos\FL Atlantic.png,SEP,1,A,\Logos\Oklahoma.png,SEP,8,H,\Logos\Air Force.png,SEP,15,H,\Logos\Bethune-Cookman.png,SEP,21,A,\Logos\UCF.png,SEP,29,A,\Logos\MTSU.png,OCT,6,H,\Logos\Old Dominion.png,OCT,20,A,\Logos\Marshall.png,OCT,26,H,\Logos\Louisiana Tech.png,NOV,3,A,\Logos\Florida Intl.png,NOV,10,H,\Logos\WKU.png,NOV,15,A,\Logos\North Texas.png,NOV,24,H,\Logos\Charlotte.png
Florida,\Logos\Florida.png,SEP,1,H,\Logos\Charleston So.png,SEP,8,H,\Logos\Kentucky.png,SEP,15,H,\Logos\Colorado St.png,SEP,22,A,\Logos\Tennessee.png,SEP,29,A,\Logos\Mississippi St.png,OCT,6,H,\Logos\LSU.png,OCT,13,A,\Logos\Vanderbilt.png,OCT,27,N,\Logos\Georgia.png,NOV,3,H,\Logos\Missouri.png,NOV,10,H,\Logos\South Carolina.png,NOV,17,H,\Logos\Idaho.png,NOV,24,A,\Logos\Florida St.png
Florida Intl,\Logos\Florida Intl.png,SEP,1,H,\Logos\Indiana.png,SEP,8,A,\Logos\Old Dominion.png,SEP,15,H,\Logos\Massachusetts.png,SEP,22,A,\Logos\Miami FL.png,SEP,29,H,\Logos\Ark Pine Bluff.png,OCT,13,H,\Logos\MTSU.png,OCT,20,H,\Logos\Rice.png,OCT,27,A,\Logos\WKU.png,NOV,3,H,\Logos\FL Atlantic.png,NOV,10,A,\Logos\UT San Antonio.png,NOV,17,A,\Logos\Charlotte.png,NOV,24,H,\Logos\Marshall.png
Florida St,\Logos\Florida St.png,SEP,3,H,\Logos\Virginia Tech.png,SEP,8,H,\Logos\Samford.png,SEP,15,A,\Logos\Syracuse.png,SEP,22,H,\Logos\N Illinois.png,SEP,29,A,\Logos\Louisville.png,OCT,6,A,\Logos\Miami FL.png,OCT,20,H,\Logos\Wake Forest.png,OCT,27,H,\Logos\Clemson.png,NOV,3,A,\Logos\NC State.png,NOV,10,A,\Logos\Notre Dame.png,NOV,17,H,\Logos\Boston College.png,NOV,24,H,\Logos\Florida.png
Fresno St,\Logos\Fresno St.png,SEP,1,H,\Logos\Idaho.png,SEP,8,A,\Logos\Minnesota.png,SEP,15,A,\Logos\UCLA.png,SEP,29,H,\Logos\Toledo.png,OCT,6,A,\Logos\Nevada.png,OCT,13,H,\Logos\Wyoming.png,OCT,20,A,\Logos\New Mexico.png,OCT,27,H,\Logos\Hawaii.png,NOV,3,A,\Logos\UNLV.png,NOV,9,A,\Logos\Boise St.png,NOV,17,H,\Logos\San Diego St.png,NOV,24,H,\Logos\San Jose St.png
Ga Southern,\Logos\Ga Southern.png,SEP,1,H,\Logos\S Carolina St.png,SEP,8,H,\Logos\Massachusetts.png,SEP,15,A,\Logos\Clemson.png,SEP,29,H,\Logos\Arkansas St.png,OCT,6,H,\Logos\South Alabama.png,OCT,11,A,\Logos\Texas St.png,OCT,20,A,\Logos\New Mexico St.png,OCT,25,H,\Logos\Appalachian St.png,NOV,3,A,\Logos\ULM.png,NOV,10,H,\Logos\Troy.png,NOV,17,A,\Logos\Coastal Car.png,NOV,24,A,\Logos\Georgia St.png
Georgia,\Logos\Georgia.png,SEP,1,H,\Logos\Austin Peay.png,SEP,8,A,\Logos\South Carolina.png,SEP,15,H,\Logos\MTSU.png,SEP,22,A,\Logos\Missouri.png,SEP,29,H,\Logos\Tennessee.png,OCT,6,H,\Logos\Vanderbilt.png,OCT,13,A,\Logos\LSU.png,OCT,27,N,\Logos\Florida.png,NOV,3,A,\Logos\Kentucky.png,NOV,10,H,\Logos\Auburn.png,NOV,17,H,\Logos\Massachusetts.png,NOV,24,H,\Logos\Georgia Tech.png
Georgia St,\Logos\Georgia St.png,AUG,30,H,\Logos\Kennesaw.png,SEP,8,A,\Logos\NC State.png,SEP,14,A,\Logos\Memphis.png,SEP,22,H,\Logos\W Michigan.png,SEP,29,H,\Logos\ULM.png,OCT,4,A,\Logos\Troy.png,OCT,18,A,\Logos\Arkansas St.png,OCT,27,H,\Logos\Coastal Car.png,NOV,3,H,\Logos\Texas St.png,NOV,10,A,\Logos\ULL.png,NOV,17,A,\Logos\Appalachian St.png,NOV,24,H,\Logos\Ga Southern.png
Georgia Tech,\Logos\Georgia Tech.png,SEP,1,H,\Logos\Alcorn St.png,SEP,8,A,\Logos\South Florida.png,SEP,15,A,\Logos\Pittsburgh.png,SEP,22,H,\Logos\Clemson.png,SEP,29,H,\Logos\Bowling Green.png,OCT,5,A,\Logos\Louisville.png,OCT,13,H,\Logos\Duke.png,OCT,25,A,\Logos\Virginia Tech.png,NOV,3,A,\Logos\North Carolina.png,NOV,10,H,\Logos\Miami FL.png,NOV,17,H,\Logos\Virginia.png,NOV,24,A,\Logos\Georgia.png
Houston,\Logos\Houston.png,SEP,1,A,\Logos\Rice.png,SEP,8,H,\Logos\Arizona.png,SEP,15,A,\Logos\Texas Tech.png,SEP,22,H,\Logos\TX Southern.png,OCT,4,H,\Logos\Tulsa.png,OCT,13,A,\Logos\East Carolina.png,OCT,20,A,\Logos\Navy.png,OCT,27,H,\Logos\South Florida.png,NOV,3,A,\Logos\SMU.png,NOV,10,H,\Logos\Temple.png,NOV,15,H,\Logos\Tulane.png,NOV,23,A,\Logos\Memphis.png
Illinois,\Logos\Illinois.png,SEP,1,H,\Logos\Kent.png,SEP,8,H,\Logos\W Illinois.png,SEP,15,N,\Logos\South Florida.png,SEP,21,H,\Logos\Penn St.png,OCT,6,A,\Logos\Rutgers.png,OCT,13,H,\Logos\Purdue.png,OCT,20,A,\Logos\Wisconsin.png,OCT,27,A,\Logos\Maryland.png,NOV,3,H,\Logos\Minnesota.png,NOV,10,A,\Logos\Nebraska.png,NOV,17,H,\Logos\Iowa.png,NOV,24,A,\Logos\Northwestern.png
Indiana,\Logos\Indiana.png,SEP,1,A,\Logos\Florida Intl.png,SEP,8,H,\Logos\Virginia.png,SEP,15,H,\Logos\Ball St.png,SEP,22,H,\Logos\Michigan St.png,SEP,29,A,\Logos\Rutgers.png,OCT,6,A,\Logos\Ohio St.png,OCT,13,H,\Logos\Iowa.png,OCT,20,H,\Logos\Penn St.png,OCT,26,A,\Logos\Minnesota.png,NOV,10,H,\Logos\Maryland.png,NOV,17,A,\Logos\Michigan.png,NOV,24,H,\Logos\Purdue.png
Iowa,\Logos\Iowa.png,SEP,1,H,\Logos\N Illinois.png,SEP,8,H,\Logos\Iowa St.png,SEP,15,H,\Logos\Northern Iowa.png,SEP,22,H,\Logos\Wisconsin.png,OCT,6,A,\Logos\Minnesota.png,OCT,13,A,\Logos\Indiana.png,OCT,20,H,\Logos\Maryland.png,OCT,27,A,\Logos\Penn St.png,NOV,3,A,\Logos\Purdue.png,NOV,10,H,\Logos\Northwestern.png,NOV,17,A,\Logos\Illinois.png,NOV,23,H,\Logos\Nebraska.png
Iowa St,\Logos\Iowa St.png,SEP,1,H,\Logos\S Dakota St.png,SEP,8,A,\Logos\Iowa.png,SEP,15,H,\Logos\Oklahoma.png,SEP,22,H,\Logos\Akron.png,SEP,29,A,\Logos\TCU.png,OCT,6,A,\Logos\Oklahoma St.png,OCT,13,H,\Logos\West Virginia.png,OCT,27,H,\Logos\Texas Tech.png,NOV,3,A,\Logos\Kansas.png,NOV,10,H,\Logos\Baylor.png,NOV,17,A,\Logos\Texas.png,NOV,24,H,\Logos\Kansas St.png
Kansas,\Logos\Kansas.png,SEP,1,H,\Logos\Nicholls St.png,SEP,8,A,\Logos\C Michigan.png,SEP,15,H,\Logos\Rutgers.png,SEP,22,A,\Logos\Baylor.png,SEP,29,H,\Logos\Oklahoma St.png,OCT,6,A,\Logos\West Virginia.png,OCT,20,A,\Logos\Texas Tech.png,OCT,27,H,\Logos\TCU.png,NOV,3,H,\Logos\Iowa St.png,NOV,10,A,\Logos\Kansas St.png,NOV,17,A,\Logos\Oklahoma.png,NOV,23,H,\Logos\Texas.png
Kansas St,\Logos\Kansas St.png,SEP,1,H,\Logos\South Dakota.png,SEP,8,H,\Logos\Mississippi St.png,SEP,15,H,\Logos\UT San Antonio.png,SEP,22,A,\Logos\West Virginia.png,SEP,29,H,\Logos\Texas.png,OCT,6,A,\Logos\Baylor.png,OCT,13,H,\Logos\Oklahoma St.png,OCT,27,A,\Logos\Oklahoma.png,NOV,3,A,\Logos\TCU.png,NOV,10,H,\Logos\Kansas.png,NOV,17,H,\Logos\Texas Tech.png,NOV,24,A,\Logos\Iowa St.png
Kent,\Logos\Kent.png,SEP,1,A,\Logos\Illinois.png,SEP,8,H,\Logos\Howard.png,SEP,15,A,\Logos\Penn St.png,SEP,22,A,\Logos\Mississippi.png,SEP,29,A,\Logos\Ball St.png,OCT,6,H,\Logos\Ohio.png,OCT,13,A,\Logos\Miami OH.png,OCT,20,H,\Logos\Akron.png,OCT,30,A,\Logos\Bowling Green.png,NOV,6,A,\Logos\Buffalo.png,NOV,15,H,\Logos\Toledo.png,NOV,23,H,\Logos\E Michigan.png
Kentucky,\Logos\Kentucky.png,SEP,1,H,\Logos\C Michigan.png,SEP,8,A,\Logos\Florida.png,SEP,15,H,\Logos\Murray St.png,SEP,22,H,\Logos\Mississippi St.png,SEP,29,H,\Logos\South Carolina.png,OCT,6,A,\Logos\Texas A&M.png,OCT,20,H,\Logos\Vanderbilt.png,OCT,27,A,\Logos\Missouri.png,NOV,3,H,\Logos\Georgia.png,NOV,10,A,\Logos\Tennessee.png,NOV,17,H,\Logos\MTSU.png,NOV,24,A,\Logos\Louisville.png
Louisiana Tech,\Logos\Louisiana Tech.png,SEP,1,A,\Logos\South Alabama.png,SEP,8,H,\Logos\Southern Univ.png,SEP,22,A,\Logos\LSU.png,SEP,29,A,\Logos\North Texas.png,OCT,6,H,\Logos\UAB.png,OCT,13,A,\Logos\UT San Antonio.png,OCT,20,H,\Logos\UTEP.png,OCT,26,A,\Logos\FL Atlantic.png,NOV,3,A,\Logos\Mississippi St.png,NOV,10,H,\Logos\Rice.png,NOV,17,A,\Logos\Southern Miss.png,NOV,24,H,\Logos\WKU.png
Louisville,\Logos\Louisville.png,SEP,1,N,\Logos\Alabama.png,SEP,8,H,\Logos\Indiana St.png,SEP,15,H,\Logos\WKU.png,SEP,22,A,\Logos\Virginia.png,SEP,29,H,\Logos\Florida St.png,OCT,5,H,\Logos\Georgia Tech.png,OCT,13,A,\Logos\Boston College.png,OCT,27,H,\Logos\Wake Forest.png,NOV,3,A,\Logos\Clemson.png,NOV,9,A,\Logos\Syracuse.png,NOV,17,H,\Logos\NC State.png,NOV,24,H,\Logos\Kentucky.png
LSU,\Logos\LSU.png,SEP,2,N,\Logos\Miami FL.png,SEP,8,H,\Logos\SE Louisiana.png,SEP,15,A,\Logos\Auburn.png,SEP,22,H,\Logos\Louisiana Tech.png,SEP,29,H,\Logos\Mississippi.png,OCT,6,A,\Logos\Florida.png,OCT,13,H,\Logos\Georgia.png,OCT,20,H,\Logos\Mississippi St.png,NOV,3,H,\Logos\Alabama.png,NOV,10,A,\Logos\Arkansas.png,NOV,17,H,\Logos\Rice.png,NOV,24,A,\Logos\Texas A&M.png
Marshall,\Logos\Marshall.png,SEP,1,A,\Logos\Miami OH.png,SEP,8,H,\Logos\E Kentucky.png,SEP,15,A,\Logos\South Carolina.png,SEP,22,H,\Logos\NC State.png,SEP,29,A,\Logos\WKU.png,OCT,5,H,\Logos\MTSU.png,OCT,13,A,\Logos\Old Dominion.png,OCT,20,H,\Logos\FL Atlantic.png,NOV,3,A,\Logos\Southern Miss.png,NOV,10,H,\Logos\Charlotte.png,NOV,17,H,\Logos\UT San Antonio.png,NOV,24,A,\Logos\Florida Intl.png
